Gene,Log2FC,MeanExpr,t_stat,p_value,adj_pval,B_stat
DKFZp547K054,-0.006526403783653898,5.421611333785714,-0.3970344045946971,0.6919120240206118,0.8925386777305536,-6.1622446238116355
DKFZp564N2472,-0.057996232368131874,5.4017528303673465,-2.6461065101448775,0.009019590170178563,0.1306698426912808,-2.926218779096039
DKFZp667F0711,-0.012842680436813025,5.319053767289116,-0.9707713100654467,0.3332404067755502,0.6780455178587531,-5.7834382817954975
DKFZp667M2411,0.019107354524725072,5.954543859789116,0.7986900865466041,0.4257454135112375,0.7463395086247434,-5.930171518772197
DKFZp686A1627,-0.01152107683653849,5.176660586190476,-0.6653265770881064,0.5068734770350944,0.7981947172464658,-6.024423724020436
DKFZp686D0972,0.012831497929945474,5.046070906938776,0.6210875081142746,0.5354940415493945,0.8166886293798368,-6.051920162002828
DKFZp686E2433,0.03877791523351692,5.584477993918368,1.8348310074391967,0.06853138759160325,0.3526555406015595,-4.626169833908889
DKFZp686I15217,0.05982102346771985,6.636320552030612,1.861496105600489,0.06465047455936825,0.343125519704575,-4.579524311022505
DKFZp686J0529,-0.003739487087911995,5.295050752278912,-0.28474321307634004,0.7762375116096702,0.929604200390711,-6.199310212969416
DKFZp686K1684,-0.005673235358517364,5.604868224605442,-0.2604987221590678,0.7948399035483823,0.9364414339398465,-6.205712289490613
DKFZp686O1327,0.004017199439560099,5.315770645748299,0.1590152773184995,0.8738728559599176,0.9635967231613991,-6.226334954471962
DKFZp686O24166,-0.03079155757142903,6.081169611455782,-1.173251056070668,0.24257321186196715,0.5983129861058143,-5.574772216627784
DKFZp761E198,0.05283076606730774,6.457567311428572,0.6520533475530965,0.5153745475365193,0.8042235703448812,-6.032871019493338
DKFZp761O2018,-0.009486579421703594,5.536919476435374,-0.4802540346479302,0.6317533235353758,0.8667370970672628,-6.126916216442443
DKFZp761P0423,0.19021331265384728,7.96796257152381,3.8265095056087044,1.90954339140483e-4,0.015959923036778772,0.5158253235470118
DKFZp779B1634,0.03196780734340641,5.21405445070068,1.6784455419167073,0.09536292974415804,0.4096890540177595,-4.886765990064505
DKFZp779M0652,0.005309330892856609,5.491866026612245,0.2655882816566885,0.7909245916773545,0.9348505692232707,-6.204415491616549
DKFZp781N1041,-0.04542512842719791,5.329889820598639,-2.2324512899906748,0.027081334842983716,0.22764990933232918,-3.8647475791959685
DKK1,-0.012459596124313278,5.217153049551021,-0.8994670488751951,0.36985989489957005,0.7066215002197026,-5.847663869500287
DKK2,-0.010828401996566176,5.557882565945579,-0.6793067700793183,0.4980007551220218,0.7932731304534408,-6.015343590967891
DKK3,0.019652702318681135,5.3658339426853745,1.0450485228381625,0.29769836775169983,0.649427335005097,-5.711397859442716
DKK4,0.0020980772596153868,4.9713105458571425,0.12573495750926064,0.9001117633480415,0.9725999971107244,-6.230926232902358
DKKL1,-0.013075927498626115,5.274235421054422,-0.6758032483088259,0.5002164463884538,0.7943379039803418,-6.017636745368898
