Gene,Log2FC,MeanExpr,t_stat,p_value,adj_pval,B_stat
LOC728207,-0.2438342599271978,7.676788111646259,-3.6368007526314123,3.8002706722314086e-4,0.022748058313437,-0.10920630420177879
C9orf130,-0.20620649969642918,8.469336461170068,-3.6203505420801765,4.029150019329624e-4,0.023667302524757527,-0.16216757284360472
CARD17,-0.23227997321016589,6.143444233006803,-3.6161666622232693,4.08940367299322e-4,0.023842968428104808,-0.17560569874952936
LOC648863,-0.3015714543708808,7.887980339020408,-3.605916323404852,4.2406352536178687e-4,0.02454257890979653,-0.2084739386577512
DSC2,-0.3233900735261002,7.278126289013605,-3.5983525207230707,4.3555960310728744e-4,0.02506940675320442,-0.23267785350680903
LOC100132425,-0.21470859934340703,9.494297464823129,-3.5949028289818377,4.408997363387317e-4,0.025167818200876865,-0.24370269208658701
PIK3IP1,0.22021128562362796,9.727728959802722,3.59371514143568,4.427525220464783e-4,0.025167818200876865,-0.24749637258674095
BCL2A1,-0.3706588930219789,9.400199431795919,-3.5895097670649982,4.4937206421845837e-4,0.025399220305987902,-0.2609206680300691
PPIB,-0.28316222531868207,8.696831172326531,-3.5781574089876313,4.6771035797082077e-4,0.026060754804239385,-0.2970939145185678
CD274,-0.20733749848214353,5.395473596421769,-3.5708673425010655,4.7985594826973737e-4,0.026456057947938188,-0.3202725993757909
LOC100132761,-0.2264091125391485,6.06142458692517,-3.553453830837919,5.100810836821274e-4,0.027383531927224647,-0.3754787157449284
LOC402221,-0.2135800815824187,11.061025583020408,-3.544983623925162,5.254228261259433e-4,0.027608704779919793,-0.4022501903454767
KLRB1,0.27443491781043966,11.256304349918368,3.542542413516101,5.299244895856148e-4,0.027755678349529214,-0.40995610096369717
TLR5,-0.2783361647967044,7.749460194530612,-3.506862896038259,6.000026169079752e-4,0.029822071995240815,-0.5220734450426514
RYBP,0.24502915261950636,9.222286721687075,3.5021337068414136,6.099198033813255e-4,0.030042852258717143,-0.5368626056774399
LOC100131718,-0.266610450923078,10.900351169428571,-3.4856064616350775,6.458011243145503e-4,0.031182196796873837,-0.5884147902795043
CLEC12A,-0.45176734311504163,8.855046859001702,-3.4718555900839743,6.771566147501391e-4,0.03204868038424378,-0.6311501914105104
LOC439992,-0.23271935161675933,6.558986229278911,-3.4704112982391093,6.805316683930171e-4,0.03207620180952775,-0.6356305382273604
LOC646909,-0.26190716140590714,10.192225853418368,-3.4363558630188047,7.64840869230562e-4,0.034526392446419994,-0.7408174783571635
LOC651919,-0.20890905818544048,7.434768629986395,-3.4157517564209665,8.205059563779367e-4,0.03584407754409782,-0.8040308087303698
