ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:1902914,regulation of protein polyubiquitination,26,-0.638325539580833,-2.2102983316662375,2.707254277170916e-5,0.004227481678966892,0.003876378931279814,2561,"tags=58%, list=15%, signal=49%",57817/1654/11337/26272/54765/5478/64127/9373/7335/2295/143941/331/9111/7321/84875
GO:0032755,positive regulation of interleukin-6 production,93,-0.414907920155208,-1.9326197469114537,2.83879514125519e-5,0.004234420575768887,0.003882741535641508,4263,"tags=49%, list=26%, signal=37%",10865/6774/2150/3329/4843/5452/90865/51284/56848/10333/3570/10288/3670/4615/351/7189/972/3146/51311/64581/5336/5027/353514/7099/81622/948/64135/7096/3552/148022/64127/5603/3553/7040/114900/10392/177/29108/85480/695/3965/3952/199/7474/3929/113277
GO:0002250,adaptive immune response,455,-0.25929537349067894,-1.4891944000835968,2.850759336724538e-5,0.004234420575768887,0.003882741535641508,3612,"tags=33%, list=22%, signal=26%",3109/3570/3447/973/54210/5321/731/7462/10288/5971/54795/51744/64218/2215/729230/79908/4436/383/23495/3442/3659/100507436/80149/563/3134/79465/79679/3108/3112/28988/4615/57823/6504/27074/3606/11006/5580/2923/64421/3554/3444/974/430/1380/3113/7189/735/972/11025/3146/64332/3764/51311/7037/196/5777/55061/3446/64581/5130/50852/5027/6891/11118/84695/3118/3126/3718/7099/8809/3117/81622/3125/3456/10384/2048/11026/3726/326/9021/93978/2243/154064/714/64127/80380/717/3553/3586/7040/6363/7158/1378/440275/177/10538/26022/11035/4683/7128/10859/113/81545/3443/338339/29108/91543/3717/958/2214/6398/84868/1075/22890/8807/712/1235/3071/3135/1439/51010/10411/353091/2213/10673/695/8741/634/246778/50856/3665/3136/259307/2185/713/11024/3593/710/6890/5678/567/9103/3981/6868/29126/8417/3903/2209/64092
GO:0002819,regulation of adaptive immune response,207,-0.3197190689055058,-1.6923527014439566,3.0015092604266892e-5,0.004352188427618699,0.003990728477835485,3359,"tags=42%, list=20%, signal=34%",911/1604/3329/6556/6830/10039/9390/90865/7133/604/3263/5321/54795/729230/4436/383/3659/80149/563/3134/79465/6504/3606/11006/3554/430/1380/7189/3146/64332/7037/196/5777/55061/64581/5027/6891/84695/3718/8809/3125/3456/2048/3726/93978/154064/64127/3553/3586/7040/6363/7158/1378/440275/177/10538/11035/7128/10859/113/81545/29108/91543/3717/958/6398/84868/22890/3071/3135/51010/353091/2213/10673/695/8741/634/246778/3665/3136/259307/3593/567/29126/8417/2209/64092
GO:0032640,tumor necrosis factor production,160,-0.34928026484593633,-1.788706748034435,3.396737114682554e-5,0.00459691756187039,0.0042151322557639655,3259,"tags=39%, list=20%, signal=32%",7538/6833/80149/5663/2693/51738/4615/6348/6504/9370/351/11006/23208/929/3146/5004/5777/5795/64581/9971/5336/353514/7099/2048/948/64135/7096/3552/148022/23643/5443/64127/11213/3586/7040/6363/114900/10392/4939/120892/177/7128/10859/29108/3717/2214/84868/4940/409/2213/695/3965/50856/3952/51465/4938/3593/7474/3929/113277/9103/6868/2209
GO:0032680,regulation of tumor necrosis factor production,160,-0.34928026484593633,-1.788706748034435,3.396737114682554e-5,0.00459691756187039,0.0042151322557639655,3259,"tags=39%, list=20%, signal=32%",7538/6833/80149/5663/2693/51738/4615/6348/6504/9370/351/11006/23208/929/3146/5004/5777/5795/64581/9971/5336/353514/7099/2048/948/64135/7096/3552/148022/23643/5443/64127/11213/3586/7040/6363/114900/10392/4939/120892/177/7128/10859/29108/3717/2214/84868/4940/409/2213/695/3965/50856/3952/51465/4938/3593/7474/3929/113277/9103/6868/2209
GO:0051607,defense response to virus,292,-0.29597161672737377,-1.6437061768237868,3.263692788051871e-5,0.00459691756187039,0.0042151322557639655,2412,"tags=28%, list=14%, signal=25%",3764/51311/5610/22978/3446/23515/6895/54765/8519/4600/4283/79132/81622/3456/64135/1755/684/81786/148022/3433/4599/27297/3553/4343/81030/117854/24138/51191/4939/8467/3434/3627/440275/2633/11035/3600/7128/10859/22861/3443/6772/10084/29108/91543/958/3588/55284/3437/2537/25939/2634/8638/4940/55601/85363/197259/115362/10964/91351/10379/3429/10346/246778/11274/5371/3665/64108/60489/9636/200316/4938/3593/5359/3663/9447/10010/3660/3428/83666/834/151636/84166/2635
GO:0032760,positive regulation of tumor necrosis factor production,102,-0.39803711805521114,-1.8728513785691843,3.511389210984059e-5,0.004648773977150635,0.004262681868254104,2901,"tags=42%, list=17%, signal=35%",4615/6348/351/929/3146/5004/5795/64581/5336/353514/7099/2048/948/64135/7096/3552/148022/23643/64127/7040/6363/114900/10392/4939/120892/177/29108/3717/2214/84868/4940/2213/695/3965/3952/4938/3593/7474/3929/113277/9103/6868/2209
GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,106,-0.39251161606249857,-1.8536685959621222,3.777737891094545e-5,0.004894983778035272,0.0044884433398111,2901,"tags=41%, list=17%, signal=34%",4615/6348/351/929/3146/5004/5795/64581/5336/353514/7099/2048/948/64135/7096/3552/148022/23643/64127/7040/6363/114900/10392/4939/120892/177/29108/3717/2214/84868/4940/2213/695/3965/3952/4938/3593/7474/3929/113277/9103/6868/2209
GO:0032722,positive regulation of chemokine production,69,-0.4570279026612145,-1.9958946151483192,4.3263739199971635e-5,0.005489086910996401,0.0050332047468388055,4182,"tags=51%, list=25%, signal=38%",2150/27159/90865/51284/3570/3091/1654/4615/3606/9370/351/972/3146/3574/5610/64581/7099/326/148022/64127/3553/7040/177/29108/84868/4940/85480/3965/2865/199/4938/7474/2867/3929/6868
