Sample,BLNK,C14orf82,C19orf59,CLEC12A,CTSL1,D4S234E,DSC2,FAM26F,FCGR1A,FCGR1B,FCGR1C,GBP3,GSTM2,HIPK2,IGF2BP3,IRF5,IRS2,JAM3,LGALS3BP,LMTK3,LOC100130332,LOC100132199,LOC283267,LOC389286,LOC400652,LOC439992,LOC441032,LOC642073,LOC643779,LOC646909,LOC646949,LOC648343,LOC649839,LOC652113,LOC653737,LOC728207,LOC730746,MAST3,MIR1974,MPL,MS4A2,NHLRC4,NUDT2,PKN2,SDPR,SIDT2,SNORD13,TARP,VWF,ZNF609,Condition
GSM1033172,7.172579466,7.145492652,9.369359313,10.3194425485,7.832030301333333,7.009730399,7.551324038000001,9.605907707,7.686094906,8.078448636000001,7.346724817,8.007320835,6.9277551165,6.826792588,7.8516237,7.073708467,8.039017611,8.023446354,6.59805404,6.27672257,6.264496257999999,9.720876616,7.022611725,7.86207792,8.418524074,6.81146119,7.472293987,9.285664331,9.059248156,10.45010229,9.851046293,10.60477871,10.46620035,6.5158462,10.756061762,7.754320771,8.579779749,8.744054702,9.728016152,8.137820288,6.557684008,7.216198209,7.319076293,8.008930369,10.25876084,9.897013274,8.964377349,8.417387376,6.489275365,6.175220799,Control
GSM1033173,7.449572068,7.485008247,8.849070073,9.52745399275,6.895279818,7.149828627,6.952699806,10.82666563,7.489735928,7.605140546499999,7.362968213,7.24808493,6.801580079,7.002684492,7.357723293,5.888035876,7.710748848,7.012830094,6.58019721,6.400406138,6.0545506105,9.675181225,7.095333809,7.247327048,8.15043336,6.653421529,6.867196526,10.27930995,9.092005606,10.41081374,9.430175315,10.76329368,10.43836978,7.241234937,10.6761678795,7.605548697,8.124112698,8.66085193,8.789578056,6.837371237,6.501891817,6.527496724,7.1557466415,8.17016899,9.373476267,9.626343999,9.287232096,8.332040711,5.731822343,6.640697727,ASD
GSM1033174,7.516124901,7.698441679,8.75789384,9.34393006025,6.729158047,6.965004036,6.290122798,10.06291444,6.384879978,6.75984454,6.505470337,7.595534262,8.462620673,7.317268527,7.495105553,6.8266420875,8.504722463,7.758563588,6.225628073,6.574727917,6.098691922,10.01826397,7.316006676,7.385240319,8.510536053,6.955890468,7.363939714,9.0936554,9.26296348,10.25011755,9.651327013,10.70349809,10.73022872,6.403082219,10.4634105395,7.854980708,8.417387376,8.783794376,8.785449254,7.778980027,6.835838344,7.035619265,7.611751187499999,7.927660195,10.58377744,9.742768708,8.965354173,8.080106178,6.324877586,6.59245532,ASD
GSM1033175,7.609777755,7.540859955,8.829522167,9.275730703,6.860796728333333,7.101157567,6.669435164499999,10.08265641,6.401678294,6.9514518255,6.497636797,7.632419037,7.950855189499999,6.681680908,8.42114706,6.6472438335,7.993153043,6.860070765,6.628705029,6.445062254,6.3683962265,10.00022045,7.007623286,7.79035512,8.498485843,7.144996913,7.6414483,10.89873708,9.328539835,10.641134335,9.837555741,10.68808648,10.69828719,7.209930446,10.8691063045,8.043372785,8.872053671,8.544596829,9.414690843,7.035619265,5.639533796,6.92113133,7.209917770000001,8.154119921,9.841418695,9.828062568,9.275876604,7.394959783,5.910847388,6.531613873,Control
GSM1033176,7.500135624,7.305880138,8.333102056,7.97610891125,6.904443101333333,7.338581989,6.7901151465,10.55986576,7.770471946,7.911049479,7.592118811,8.303485277,6.729285217499999,6.81036737,7.900050726,6.3132736640000005,7.552781152,7.227095496,6.747813561,6.471784424,5.848503710999999,9.72301725,7.163859324,6.958491657,7.742473674,6.278915127,7.062684018,10.00614481,8.842637484,10.46104506,9.522321854,10.44514792,10.4595097,6.629128224,11.3483214215,7.622267824,8.31495169,8.580122592,8.307413863,7.538629689,6.234392886,6.721564412,7.1747292505,8.229985074,9.830495344,9.880878113,9.893824338,8.803536565,6.00691227,6.713553327,Control
GSM1033177,7.266070784,6.609151095,8.822470603,9.544826905,7.047027446333334,6.524758359,7.3677404355,9.909777183,6.701346772,7.215890765,6.87904112,7.615957412,7.391333857499999,7.10840286,8.062615632,6.703725668500001,7.941428542,6.779932676,6.572103493,6.351234894,6.0155978685,9.590443721,7.24833207,6.743080214,7.670998775,6.26382548,6.767570167,10.19398066,8.535477563,10.0327720605,9.079510479,10.33746304,10.19604389,7.952411123,10.965685597,7.541865733,8.285660703,8.412042744,8.353042247,7.120392598,6.16284033,6.776523277,7.227592687,7.573093845,10.04077759,9.694523323,8.236676902,7.621693984,5.723339058,6.539153298,Control
GSM1033178,7.41507448,6.906657839,8.312644942,7.88303266275,6.982436715,6.429954061,6.8838482855,10.16144074,6.489982035,6.848035616000001,6.530815404,7.991427079,7.5814027,6.948743007,7.519726269,6.388081521,8.435283588,6.99840941,6.475273301,6.633596461,6.0095362365,9.913838605,7.00077373,7.004061472,8.086574381,6.562592678,7.217823154,8.549208713,9.161521788,10.55671993,9.557125985,10.6380553,10.37568928,7.295848714,11.4960388785,7.776540095,8.388813028,8.767983423,8.14017191,7.390741302,6.038781834,6.387205695,7.073973656,8.224235123,9.802783063,9.761833039,9.505823024,7.747716126,5.542646501,6.544739415,ASD
GSM1033179,7.391038734,6.96619591,7.892284747,8.422325074749999,8.222141932333333,6.875617248,6.5638139735,11.51264733,9.06722423,9.142263763,8.96097421,8.894838418,6.4015760625,7.093575698,8.836818493,6.9378976125000005,6.989666104,8.218607776,8.475235899,6.409792302,6.2462037135,9.0936554,7.054001007,7.412391504,7.094301635,5.877720146,6.664878704,10.66520582,8.586172918,9.6430480765,8.640874921,9.981765887,10.13141146,6.846399478,10.7171339905,7.466765961,8.110241369,8.394982969,10.51681803,8.400390907,6.616117846,6.616984871,7.0036597615,8.004819988,10.79356109,10.83340778,9.514952517,7.847108225,6.876553847,6.660131326,Control
GSM1033180,7.247085131,7.062684018,8.14148214,7.88372212875,6.756531774666667,6.206695765,7.0498532385,10.33533419,6.851029591,7.0565403710000005,6.723434512,7.055856917,6.9659856725,7.136906789,8.159462767,6.660617672,8.250184818,7.457452967,6.572497846,6.238300379,5.6464040865000005,9.669651286,7.342547504,6.69817224,7.675931739,6.573496612,7.011378955,9.12558952,8.714604877,10.016311271,8.813426535,10.28033383,10.20816945,6.999102544,11.331027433,7.442719156,8.129539348,8.675372715,9.038015267,7.876094409,6.282960904,6.486616108,7.3630536385,8.51593357,10.19785709,9.863056215,10.60123747,7.96414674,5.917251683,6.591864269,ASD
GSM1033181,6.825930549,7.28678145,7.582175975,7.67407804925,6.629770030666667,7.786547297,6.790732169,9.544292596,6.525352664,6.9179967275,6.695626155,7.933164758,7.026087627500001,6.897587498,7.247571753,6.2566071655,8.040353728,7.489999043,6.50156822,6.820639472,5.6877247545,9.137320494,7.334338384,7.199687574,7.507231553,5.844337345,6.747813561,8.974102525,8.284257663,9.8229444495,8.449915589,9.764629164,9.752163359,6.780160915,11.231518708,7.182208239,7.884590957,8.793886156,7.951415923,8.456324544,6.511421594,6.440021987,7.7437213735,8.434915373,10.55037281,8.7192604,10.02159957,9.428338686,6.357461399,6.779064278,ASD
GSM1033182,6.875438558,6.940452969,8.135804278,9.2485933535,6.883249695333333,7.764872222,6.924467123,9.951550743,6.388941128,6.791471356,6.472959077,7.474140619,7.103850895,6.761035014,7.618470378,6.433603494,8.012155827,7.67210109,6.352099445,6.638932349,6.077691443,9.352456718,7.359570502,7.46813236,7.416065821,6.123086164,7.030501765,9.282025297,8.005168284,9.596519039,8.874426439,9.774015857,9.6393641,6.679697442,11.2155503265,7.189208513,8.405657697,8.722884259,9.819431979,7.478763622,6.195308473,5.983327616,7.535937437999999,8.350011028,10.3852708,10.22627908,10.09274299,8.352635889,6.375422619,6.654035139,ASD
GSM1033183,6.670566748,6.676536865,7.904692889,9.9404255555,6.560438194,7.670998775,7.1104499725,10.00178438,6.910095812,7.181639696,6.855604568,8.175678536,7.199645241500001,6.888642243,7.129489114,5.943756623,8.111958167,8.437679948,6.358625884,6.817288195,6.0655393255,9.631690208,7.203513558,7.176588872,8.037712564,6.278734078,7.427371715,9.915398091,8.925774674,10.223924285,9.392475182,10.26479185,10.33314519,6.420288842,11.496488949,7.793976284,8.51286775,8.7513803,10.3072569,8.692556996,6.31366369,7.539147878,7.1043786585,8.333102056,11.08278599,9.807946176,9.607383709,8.595607799,6.131312851,6.711385579,ASD
GSM1033184,7.262986846,7.00223527,8.038384852,10.033731483,6.610320362666666,6.91572727,6.6185196175000005,10.33746304,6.521934296,6.787769474499999,6.372926959,7.956850528,7.8087656765,6.798154525,7.514156397,5.9206460245,8.071838891,7.579305628,6.287268652,6.490898305,5.8705747325,9.71240781,7.10504241,7.228940445,8.385417763,6.992368954,7.544651992,9.369930476,9.138511513,10.64346587,9.621470732,10.8961876,10.70757258,6.582882183,11.4549294105,7.968139736,8.516326382,8.831797396,9.320116369,7.681988179,6.545317818,6.561021394,7.0122825685,8.294737776,10.19697743,9.795195465,10.29019545,8.383521378,6.088667718,6.576390336,ASD
GSM1033185,7.45959819,6.970929733,7.197905892,8.8346673595,7.117793179,7.825678886,6.6742726095,10.19497626,6.949768859,7.199648916,6.749780774,8.413150119,7.612067887,7.132507474,7.707565297,6.691608702,7.938471717,7.647324313,6.336098917,6.715300659,5.8469209295,9.840665334,7.321303539,6.838060414,8.351922194,6.726316655,7.569057208,9.440587232,8.833126355,10.47388591,9.485491753,10.69699352,10.70625366,6.602324278,11.673164525,7.762699127,8.756957409,8.470202797,8.095962338,8.363415697,6.613411315,6.193909442,7.1586938345,8.131524772,10.85358602,10.05677052,10.36154088,8.953541376,6.442653014,6.803085285,ASD
GSM1033186,6.768791666,7.568228014,9.622774154,8.187769698,6.6816266256666665,6.369239859,8.5050909375,9.580893134,8.690905936,8.7787188605,8.34325568,7.884885749,7.345067694500001,6.744783176,7.878789204,5.74087204,8.82719274,7.916598125,6.195649791,6.077377819,5.5171031645,9.032755807,7.25171527,6.608769886,7.542941957,6.362947473,6.994741046,9.769267786,8.185231582,9.6122330015,8.514770442,10.27388201,9.889790696,6.894831873,10.7833137425,7.022134866,7.959079147,9.290846655,10.03984044,8.187682148,6.417947105,6.631998082,7.493517452999999,8.924742009,10.44950645,9.161521788,9.106469584,8.023166347,6.086209949,6.708369374,ASD
GSM1033187,7.325440594,7.073720394,8.298862016,9.025306871,6.752536952,6.754198519,7.0745902140000005,10.23621953,8.315290692,8.608904461,8.084509576,8.200623952,7.624674032,6.805769098,8.269080615,6.6551648145,7.625378542,7.193517093,6.922724244,6.443172753,5.6925452825,9.046506251,7.411044193,6.915439451,7.520825606,5.98540639,6.723241259,10.17756887,8.189108394,9.485127838,8.517103039,9.731033214,9.786829395,7.902867212,11.2386279855,6.966914672,8.166147106,8.596024209,7.481676751,7.149828627,6.167611909,6.333170048,7.720364913,8.062960457,9.395515725,9.625578511,9.286710805,8.450299689,5.620710362,6.525352664,Control
GSM1033188,6.992867946,6.785130702,8.958023684,9.394364637,6.012883276666667,6.880358757,8.026720574,10.10739996,7.001489504,7.261287528,6.803293724,7.889779681,7.024207513,6.925628299,7.39683475,6.3375996395000005,9.219475125,7.080450137,6.428983692,6.259630505,5.3195684795,9.172156357,7.226337003,6.787131943,7.621693984,6.149939699,6.831715553,9.486196239,8.167784968,9.5808991725,8.326318447,9.861408919,9.635897179,7.338023723,10.8883204095,7.239315491,8.015712021,9.053823688,9.690227317,7.861712951,6.683303831,7.062892506,7.216244548,8.933502521,10.67300973,8.98515354,9.264123779,9.044488345,5.678765242,6.463763617,ASD
GSM1033189,7.501460664,6.651522347,7.772903464,7.7608664845,6.864285372666666,7.444585794,6.3270903575,10.07656047,6.777831554,6.9943480275,6.587317008,7.82269035,7.780962349499999,6.751501796,7.505896161,5.9877964615,8.132224605,7.961358926,6.26937696,6.5613919,5.627640308,9.750689193,7.55533897,6.977457097,7.962274789,6.335917818,6.999348459,8.671280545,8.445547047,10.27143132,9.321923296,9.994643948,10.43282046,6.30342154,11.214481876,7.843165316,8.239920571,8.914264855,8.900594126,8.498872713,6.923920058,6.589519296,7.680288825,7.86018093,10.78661568,10.25876084,8.706823378,8.082075075,5.9597093,6.727157484,ASD
GSM1033190,6.702375214,6.991646938,8.918728896,10.02934557925,6.5829409273333335,6.894831873,7.038860870000001,9.729589592,7.780833374,7.928085444,7.492960681,7.815887728,7.658284383,6.88666324,7.543240982,6.4318094135,8.508090239,7.547977751,6.055693616,6.365583566,5.8466671285,9.107577002,7.212214754,7.388898754,7.381343104,6.092421782,6.741683229,8.691330098,8.19606946,9.591536703,8.439920217,9.496774564,9.564328253,6.94281086,11.179922958,7.295050692,7.970630871,9.052220228,9.678826555,8.040353728,6.460171353,6.777200839,7.6230074355,8.532555556,10.58724207,8.852443227,9.420740083,9.097513281,6.629327501,6.579578131,ASD
GSM1033191,6.908907189,6.917268639,8.330851466,9.963042013,6.722616279666666,7.249034002,7.73131697,10.15387342,6.591074133,6.6289251505,6.333910318,7.776247081,7.822198881,7.132130352,7.503692885,6.4218146325,8.672521645,7.481676751,6.097681929,6.494328974,5.9968595695,9.381432955,7.38477882,7.438228855,7.829387514,6.151660226,6.900139538,8.7785186,8.367809788,9.9953031305,9.366823733,10.03708226,9.863056215,6.281391934,11.215966316,7.557824942,8.504330018,8.771535177,10.43171841,7.637297271,7.621693984,6.17833507,7.119966762000001,8.593656991,10.12396198,10.02338088,9.531191462,8.475235899,6.283481346,6.563778165,ASD
GSM1033192,7.452375863,6.680359197,8.322640455,9.470445102,6.868330751333334,6.745024779,7.017928541,10.0620539,7.168188944,7.330228354,7.092856932,7.687818255,6.7180951915,6.723241259,7.635246293,6.750329194,8.372723799,8.283527138,6.113288331,6.636627884,5.758292346499999,10.02338088,7.179659022,6.752418768,8.232130918,6.776978333,7.417139217,10.18531617,8.813002994,10.318051455,9.449919242,10.67179062,10.63690041,6.257947748,11.313254713,7.584377792,8.330851466,8.78682098,9.943273874,8.303163612,5.971532034,6.384169933,6.994057174,8.47637319,10.6380553,9.941630073,9.980065704,8.536267728,6.735280332,6.634005174,ASD
GSM1033193,6.825233384,7.164799525,8.236676902,7.965211343749999,6.768371963666667,7.023798049,7.2514392665,9.967361797,6.969766519,7.17478864,6.853747625,7.471514976,7.780251189,7.160107279,7.693847956,5.698665671,8.401503823,7.219533376,6.401678294,6.538597968,5.687836173,8.992082879,7.45372117,6.727853732,7.111085961,5.875006656,6.523045809,8.405657697,8.046885424,9.3173825645,8.128820609,9.598696007,9.214392913,6.285911712,11.2491084695,6.847450052,8.132876289,9.306430089,8.226378393,7.572806461,6.137488572,6.51510061,7.861320102,8.588990668,9.770023428,9.943273874,9.848059221,8.965818994,5.987604246,6.719968119,ASD
GSM1033194,7.342108751,6.864098927,7.731845592,8.8526571025,6.995999175333333,6.500815998,7.6058459655,9.802089254,6.387727379,6.7010996075,6.539344267,8.125519447,7.264626503500001,6.69817224,7.923511173,5.7187865405,8.318806071,7.306388318,6.078821336,6.512367821,5.8970761565,9.876858195,6.906657839,7.25171527,8.300621552,6.574727917,7.310840003,9.226764947,8.724243942,10.507505725,9.778532335,10.74877676,10.70757258,6.862462801,11.340130746,7.692583186,8.340930387,8.670449726,10.43725502,8.005168284,6.246369558,6.124284892,7.025526447,8.566154171,10.95287627,9.902696083,9.73393657,7.938471717,5.812204659,6.569867379,Control
GSM1033195,7.0659319,6.386296663,8.712031863,8.188195604,6.576628113666667,7.449873134,6.675211712,10.39072661,8.102723992,8.3965430325,8.041671316,8.126815242,8.010218544,7.102163226,7.370695108,5.824306120499999,8.008606169,7.688109247,6.568373679,6.770085466,5.730305053,10.12672587,7.645624416,6.844248038,8.198816531,6.582643048,7.345964284,10.10106923,9.136288168,10.32004008,9.686793189,10.66275362,10.87817113,6.103220007,11.1133310895,7.939093278,8.218267297,9.000116811,9.525567042,8.038710197,6.293923472,6.236176374,7.25045369,7.773846737,9.872850475,9.528448274,8.718848081,8.464550775,6.404922268,6.726513955,ASD
GSM1033196,7.163859324,7.323599947,8.324469782,7.7219488475,6.561019499,7.036078554,6.845014302999999,10.47296693,6.231586909,6.336912987,6.155091824,7.868182718,7.696661938,7.022844254,7.306633356,6.5033481605,8.731512433,7.728157445,6.488333964,6.742360893,5.650926636,9.759665853,7.561282346,6.71076164,7.801101915,6.260793176,6.896908493,10.2203621,8.795686706,9.9165738265,9.010851578,10.02901986,10.26165233,7.274087736,11.0986161275,7.272279799,8.098518258,9.183512696,9.627058362,7.586735583,5.542868189,7.080237376,7.3940243455,8.646343019,10.17856285,9.789829076,9.003573454,8.260677125,6.295683841,6.978444164,ASD
GSM1033197,7.149335648,7.256912122,8.45404714,7.79337566275,6.848589258666666,7.017813802,6.737199803999999,10.239155,6.222170677,6.4564463125,6.251388579,7.61455262,7.653801799,6.908665324,7.391618633,6.392225911500001,8.70372247,7.757059156,6.368904861,6.7484411,5.871563923,9.608770614,7.342108751,6.828055071,7.443251844,6.357647859,6.867935725,10.16610203,8.503149751,9.9324085835,8.846293525,9.8465495,10.07656047,7.117960478,11.257888896,7.350928601,8.237063946,9.147453057,8.933970583,7.539697221,5.933769566,7.159523216,7.2060173695,8.874912357,10.25088918,9.843716059,9.767675243,8.522417534,6.229799639,6.745619771,ASD
GSM1033198,7.254246289,7.227617868,7.728649998,8.067773492,7.224524751,7.035852411,6.370342963000001,10.0052877,7.608370758,8.007829093,7.578208624,8.544596829,7.756698052000001,7.289111741,7.775651227,5.7624134225,7.504866453,7.114456285,7.324887308,6.511230925,5.4604010935,9.423881003,7.328887518,6.971893192,7.639027445,6.402033145,7.044220409,9.144197172,8.805208279,10.0332521575,8.787782641,10.3396129,10.16327214,8.060621657,10.9880611655,7.221212366,8.359966335,8.290416636,8.88693313,6.983025678,6.275548619,5.902422453,7.202046384,7.982220884,9.814653627,8.612619914,9.271844297,8.223877347,5.653644937,6.890439936,ASD
GSM1033199,7.063887131,7.155970543,7.822370786,8.8002042365,7.06932878,7.777756351,6.4185944065000005,9.652067558,6.80037609,7.254227404,6.742360893,7.99573354,7.815880969,6.758685438,7.841893731,6.7037073505,7.72731786,6.814831631,6.213267172,6.664878704,5.721662333,9.398759892,7.29333864,6.67012725,7.522829739,6.132217168,6.863378478,8.979639304,8.291095401,9.6217303255,8.668251007,10.37241571,9.652850334,7.080002161,11.1888396045,7.147882837,7.639294111,8.524717866,7.613141983,7.319217155,6.905780145,6.94507238,7.6878211865,8.200259242,9.391854458,9.519553805,9.534397611,8.893494447,5.850620157,6.705392176,ASD
GSM1033200,6.866077612,6.31366369,8.11091112,9.55406414975,7.143234251333333,7.188042732,6.937638684,9.912239323,6.769692323,7.11881445,6.712876354,8.059991624,8.081411612,7.042114382,7.684329732,6.483322873,8.555032971,8.247124513,6.37645139,6.406707947,5.793989991,9.083932092,7.309079282,7.094584816,7.348069821,6.014816406,6.814608652,9.237810364,8.105784112,9.4808204445,8.454837081,9.203201208,9.376537539,6.458790127,10.646506619,7.131398442,7.776247081,9.112207364,10.04967598,7.829387514,6.279903432,6.724759616,6.583431281999999,8.380080197,10.98831414,9.949719044,8.747535568,8.682864836,5.804839813,6.841310621,ASD
GSM1033201,7.088372305,7.2091942,7.94556846,7.6277665605,6.725016892,7.500443818,6.97887826,9.923707184,6.553737644,6.9300260635,6.81219342,7.878497114,7.338005231,7.552211663,7.473375535,6.442358925,8.200623952,7.430985594,6.457045876,6.912146683,5.7633418925,9.415903962,7.616535717,7.193517093,7.63032135,6.170153207,6.981843545,10.08629727,8.66085193,9.829665615,8.876254876,9.817000751,9.994643948,6.65972416,10.882342711,7.379555743,8.070499838,8.805208279,9.366193311,8.086574381,6.237318343,6.97797322,7.7702551475,8.342148405,10.71261544,9.778532335,10.36503234,9.238963365,6.635436628,6.815733795,ASD
GSM1033202,6.878619353,7.022844254,8.822944341,8.111829928999999,6.7415238796666666,7.456909367,8.0387395505,9.958166316,7.164556346,7.631789322499999,7.127286313,7.526404781,6.93989446,7.0812011,7.615957412,6.934435037,8.749682857,7.608100308,5.979993778,6.629964881,5.881898143500001,9.101273185,7.295601785,7.027508013,7.770471946,6.198558768,7.034195189,10.11373167,8.300991165,9.776651294,9.117690565,10.11278309,9.781511991,6.521201544,11.0818330175,7.327859598,8.101461476,9.220645465,9.582213184,7.946886022,6.56004753,6.968844065,7.345447893999999,8.872541119,10.57004411,8.632374575,9.248571131,8.054082679,6.550381803,6.527682366,ASD
