Gene,Log2FC,p_value,adj_pval
AADAT,-0.004466740298420473,0.6496372555793524,0.873475042516261
AAGAB,0.00432504880769259,0.8890444006963597,0.968575498399253
AAK1,0.05820678282967096,0.011543832883025629,0.14911868223138583
AAMP,-0.02296532546840721,0.4686194755870954,0.775382279776763
AANAT,0.004531529199176095,0.7696384577795137,0.9266823217327232
AARS,0.0063457499299451854,0.8783822774319746,0.965222749697398
AARS2,0.06678939546978027,0.023678144940667268,0.2130287383067305
AARSD1,0.018401799714286047,0.5855475953076432,0.8437098067256878
AASDH,0.03153138238049508,0.2931734106488772,0.645502797409119
AASDHPPT,-0.0018488522534337983,0.9538736214007599,0.9882915097631326
AASS,-0.0304897860528843,0.07435014072166239,0.3659974189096119
AATF,0.0023882827513733514,0.920260649362268,0.9785515045969626
AATK,0.005912472323717982,0.7076415680745675,0.8992758657201314
ABAT,0.032903722068681654,0.25653544933977807,0.6130121816012088
ABCA1,0.00870624360988962,0.9062495764882259,0.9741745555654618
ABCA10,-0.018952886833104688,0.3537162797385459,0.6936476334877941
ABCA11,0.006195675486263889,0.7585800219331658,0.920785468106283
ABCA12,-0.045513302570742105,6.880089297849371e-4,0.032318936662812305
ABCA13,-0.004539552155220158,0.8784330350611478,0.965222749697398
ABCA2,-0.001454296015109853,0.9501014566378496,0.9869397539517093
ABCA3,0.06532330822939617,0.002551237760863715,0.06774598560148258
ABCA4,-0.005709401723901535,0.7844002624253779,0.9324971684123292
ABCA5,0.035353148836996445,0.08635002393414778,0.39157804504394345
ABCA6,0.01966301975137353,0.16933113276330802,0.5183518583888289
ABCA7,-0.029095888864011658,0.21318526445469918,0.5679037145675491
ABCA8,0.017690857646978517,0.1778869274096809,0.527968507841408
ABCA9,-0.02855741386263689,0.04591225472238805,0.2946256114939625
ABCB1,0.13085840236675836,0.003529876134369634,0.08166026185827906
ABCB10,0.005024241141483683,0.8679372202892642,0.9615664232114678
ABCB11,-0.003522230053570992,0.8556208163810277,0.9581698820507571
ABCB4,-0.01341200854395657,0.7492451501022299,0.9163542002174523
ABCB5,0.007691059576922968,0.6432417585991885,0.8715339484413926
ABCB6,0.05475427309890101,0.04314721096516387,0.2851617774534679
ABCB7,0.02818063455219804,0.3431464690390963,0.68585644826195
ABCB8,0.01112111797802161,0.65629315160781,0.8774098340382037
ABCB9,-0.0016853242843409798,0.9770860974296407,0.9940082126776048
ABCC1,-0.026025619673077066,0.1874100364591823,0.5404957359473768
ABCC10,0.05021683248351643,0.028305037312679526,0.23224911294732817
ABCC11,1.70475170787496e-4,0.9882737535023178,0.9970935860401029
ABCC12,-0.033266750929945514,0.054780082237151424,0.3199254533329717
ABCC13,-0.03518345382234407,0.0039062867442948325,0.0852886840610255
ABCC2,-0.006056137548077068,0.7656628106651244,0.9242066252338084
ABCC3,0.08321894333859901,0.03186220700493717,0.2463226856917972
ABCC4,0.08797318972321447,0.045985289945617985,0.29474245565670437
ABCC5,-0.0015457297463375634,0.957728771424478,0.9897353314726584
ABCC6,-0.015278570097756707,0.08499474239152024,0.3883890845152645
ABCC6P1,-0.008998427236263493,0.6033790309747395,0.8522062023659039
ABCC6P2,0.013222859103022134,0.4608774453304938,0.7701884913748647
ABCC8,-0.020589154703296628,0.2388422509889159,0.5950171695984534
ABCC9,0.02044328210805853,0.1211572701193453,0.4521354892222656
ABCD1,0.015273684204670433,0.7427622709065946,0.9134758003174047
ABCD2,0.007237740445741992,0.8104926568760066,0.9423452189325802
ABCD3,-0.017431750075549663,0.42170900125107436,0.743193532599611
ABCD4,-0.004576961610576553,0.664221781698553,0.8809755090596239
ABCE1,0.04136499781662055,0.22325156405892832,0.5783450376816323
ABCF1,0.0188242692980769,0.576706143681937,0.838665769150789
ABCF2,0.03711604712087891,0.06923587426601371,0.35384722470056057
ABCF3,0.03687156546703318,0.15151511525653633,0.4942591001745193
ABCG1,0.013707408401785658,0.4521519358690368,0.7651353300443978
ABCG2,-0.00276498502747239,0.8820213466091716,0.966269359218428
ABCG4,-0.05666534630906641,0.003633023106317492,0.08308814487939346
ABCG5,-0.04162605961263718,0.03779170163934054,0.2677045123592716
ABCG8,0.026257054320054908,0.23277592277556888,0.5879926170842398
ABHD1,0.024857867554944988,0.22538735924069989,0.5807184677788173
ABHD10,0.018882353377747196,0.41892216195764276,0.7412323315757647
ABHD11,-0.004860916272894015,0.7567272870307118,0.9195665953453908
ABHD12,0.004917044838827393,0.7906993621084832,0.9347777858260814
ABHD12B,-0.041057071648809444,1.803904750316188e-4,0.015404758337890359
ABHD13,-0.07715697200206063,0.004534010423163643,0.09149378726915294
ABHD14A,0.10725144487362653,0.0017336780982535995,0.05499514287242589
ABHD14B,0.08115552576373665,0.009961432095397604,0.13845257927487736
ABHD15,0.1273953701236268,9.606530888991118e-5,0.010998480634632608
ABHD2,-0.03697993538369953,0.22979008471363754,0.5848768540920433
ABHD3,-0.07541485918681379,0.2077579681126826,0.5629678107237878
ABHD4,0.044158665469779805,0.14746448156443925,0.4892952570513623
ABHD5,0.09470164185989068,0.17068308222158257,0.5200388847034842
ABHD6,0.043425004781593064,0.07988680169518052,0.3764282878474142
ABHD7,0.06636530622664809,0.048856592858844916,0.30349224889939913
ABHD8,0.033822842652472346,0.2623693267553015,0.6182213738181079
ABHD9,-0.03168044994368174,0.09141799658910528,0.40152368425006607
ABI1,0.009074478403846528,0.5729600424440218,0.8367415908660174
ABI2,0.03732338226820084,0.003445152689035589,0.08103844940541348
ABI3,-0.03126017497939568,0.5237523353661416,0.8091358220045406
ABI3BP,-0.006572567925824089,0.714930444922707,0.902232919530198
ABL1,0.028394124049450756,0.06027606345504291,0.3324825202276642
ABL2,-0.012746006549450805,0.27259050500294085,0.6269086926879851
ABLIM1,0.060792261461881575,0.14371890400284298,0.4841884945533173
ABLIM2,0.004617292023351359,0.8354333321210767,0.9504875000960659
ABLIM3,0.08444570035989048,0.04189782674794103,0.2817277940683107
ABO,-0.006467932460164784,0.7153517872831023,0.9023305718117951
ABP1,-0.03583092626236257,0.3968469744407247,0.7255825586906106
ABR,0.029380545968407026,0.12058409658278743,0.4518737015159329
ABRA,0.013809857583791406,0.4940273832193761,0.7904136312520168
ABT1,0.062208242096153464,0.01419351998317456,0.16557285534966498
ABTB1,0.046050385455356606,0.4544317661095797,0.7665587241493064
ABTB2,0.03366017378846134,0.17432101123716437,0.5241024133601792
ACAA1,-0.1324422121840667,6.729442713916598e-4,0.03204234344356712
ACAA2,0.02743792812637286,0.4197753605697686,0.741643841201121
ACACA,0.03583097847527537,0.05742156847713831,0.3270092758025405
ACACB,0.14048107861401216,0.001387885653513305,0.048163977482370904
ACAD10,0.049238760913461695,0.04580191953487722,0.29428974101473143
ACAD11,0.09948339687637388,0.012700933973444907,0.15707971312454927
ACAD8,-0.07399739136195085,0.011142819265368125,0.14676204452366248
ACAD9,-0.03896631875137339,0.22846420223644712,0.5836645544559074
ACADL,-0.022545868010989113,0.25595707772469084,0.6129871222698355
ACADM,-0.0052732526105777455,0.8886639878808846,0.9685158482103237
ACADS,-0.0065781042211538465,0.8197701539354427,0.9452939807571724
ACADSB,0.01021254387225222,0.6076517609694545,0.8539515356509292
ACADVL,-2.0170444184960498e-4,0.9937823135153837,0.9983445339680647
ACAN,-0.012450304989010641,0.4399941606319254,0.7573894225257185
ACAP1,0.009012495333791476,0.85271374460802285,0.9574036925954202
ACAP2,8.96473269231431e-4,0.9859442779555478,0.9966049880531372
ACAP3,-0.022798494785714538,0.36464114515309476,0.7016739617695651
ACAT1,-0.025476411342032955,0.5241062803549996,0.8092052651290271
ACAT2,-0.018227598999999893,0.3749088031736829,0.7104484108303645
ACBD3,-0.011211973837911886,0.6616744139410431,0.8798094851476075
ACBD4,0.027702663087912426,0.29250961114679525,0.6448549308943661
ACBD5,-0.03588094213644652,0.08333728768258966,0.3846882495171948
ACBD6,0.05855526623489,0.02696688447027732,0.22695803732269285
ACBD7,0.0014227617843405502,0.9065073418590519,0.9742117408269806
ACCN1,0.0017548198646978402,0.8869793930581914,0.9681572160135711
ACCN2,-0.012292803724588046,0.44288273518940535,0.7585773749225413
